Target,Model,Method,Mean_diff_abs,Var_mean,Std_mean
esr2,GIN,gnnexplainer,0.03487768769264221,0.01484379312023515,0.12174996510148045
fa10,GAT,attention,0.7117498531937598,0.15351103544235226,0.37518564015626904
fa10,GAT,gnnexplainer,0.02205293178558343,0.0114317162893712,0.10659897252917286
fa10,GIN,attention,0.5490618921816348,0.10931146293878549,0.32258102148771284
fa10,GIN,gnnexplainer,0.04044770002365117,0.0115337174385786,0.10685938298702236
fa7,GAT,attention,0.489136541634798,0.2496398396790027,0.4817218363285065
fa7,GAT,gnnexplainer,0.023591715097427357,0.0127113637514412,0.11230307966470715
fa7,GIN,attention,0.39066823944449414,0.1920099478214979,0.41558399200439455
fa7,GIN,gnnexplainer,0.0452710926532745,0.0115129861980676,0.1067240953445434
fabp4,GAT,attention,0.1616475820541381,0.3391553595662117,0.5710844308137893
fabp4,GAT,gnnexplainer,0.007500660419464178,0.011340281181037401,0.10555239692330355
fabp4,GIN,attention,0.7773200869560244,1.1650705911219121,0.9355906963348388
fabp4,GIN,gnnexplainer,0.06139685511589055,0.01331221004948015,0.11492377817630764
fak1,GAT,attention,0.4274983428418635,0.1015403204597532,0.305558780580759
fak1,GAT,gnnexplainer,0.05150882005691526,0.01183730727061625,0.1082720473408699
fak1,GIN,attention,0.4523824028670787,0.0883062148466706,0.286499348282814
fak1,GIN,gnnexplainer,0.050821721553802435,0.0122261028736829,0.11036494746804235
fgfr1,GAT,attention,0.6715304541867226,0.26855381503701203,0.49889877438545227
fgfr1,GAT,gnnexplainer,0.07116495966911313,0.012052254937589098,0.10949413552880286
fgfr1,GIN,attention,0.6533227443695068,0.3212422490119934,0.5017947375774383
fgfr1,GIN,gnnexplainer,0.11656566262245183,0.01013647024519735,0.09878273308277125
fkb1a,GAT,attention,0.6782662570476532,0.15038738958537573,0.3715529382228851
fkb1a,GAT,gnnexplainer,0.004777133464813232,0.0139960911124944,0.1181869029998779
fkb1a,GIN,attention,0.9490283146500587,0.393025479465723,0.5937503963708878
fkb1a,GIN,gnnexplainer,0.03759667277336126,0.01305838478729125,0.1137009166181087
fnta,GAT,attention,0.8374748647212982,0.3449110485613346,0.5666284739971161
fnta,GAT,gnnexplainer,0.018455535173416138,0.01282701343297955,0.1128413684666156
fnta,GIN,attention,0.032103151082992554,0.08198732528835531,0.27831196784973145
fnta,GIN,gnnexplainer,0.06861074566841135,0.01091460497118525,0.10373116135597225
fpps,GAT,attention,0.6224348992109299,0.0948738448088988,0.25342435166239735
fpps,GAT,gnnexplainer,0.06587388515472414,0.01241608657874165,0.10970928892493245
fpps,GIN,attention,0.5229814648628235,0.19287395826540885,0.3459829352796077
fpps,GIN,gnnexplainer,0.023436498641967785,0.0114179687807336,0.1045458488166332
gcr,GAT,attention,0.7257680813781917,0.2607651866972446,0.43269825726747513
gcr,GAT,gnnexplainer,0.003096163272857666,0.01246857577934855,0.1114385403692722
gcr,GIN,attention,0.23902044892311092,0.26952413395047187,0.44458754062652583
gcr,GIN,gnnexplainer,0.10999658107757576,0.0094913113629445,0.09661815948784344
glcm,GAT,attention,0.47119278907775874,0.41080887988209724,0.5717135772109032
glcm,GAT,gnnexplainer,0.06567266583442694,0.010423336457461099,0.10063760057091706
glcm,GIN,attention,0.5099750936031344,0.43051888458430765,0.568918164074421
glcm,GIN,gnnexplainer,0.13530539870262154,0.00936814318411045,0.09425000026822085
gria2,GAT,attention,0.037042427062988104,0.4559264130890369,0.6221901386976242
gria2,GAT,gnnexplainer,0.02591748237609859,0.01427140869200225,0.11928680539131159
gria2,GIN,attention,0.9805633520707487,0.5260860625654459,0.6596243619918822
gria2,GIN,gnnexplainer,0.0009972393512726052,0.01340882983058685,0.1156655006110668
grik1,GAT,attention,0.6351070404052737,0.638258644938469,0.770759791135788
grik1,GAT,gnnexplainer,0.06885741353034969,0.01036763808224345,0.09911786578595635
grik1,GIN,attention,0.782245123386383,0.24357188306748864,0.46328764706850045
grik1,GIN,gnnexplainer,0.012861025333404608,0.01299365544691675,0.11357547417283054
hdac2,GAT,attention,0.19376032352447514,0.6823378577828407,0.7784226804971695
hdac2,GAT,gnnexplainer,0.03610471487045286,0.012415948510169951,0.11096567213535305
hdac2,GIN,attention,0.03717427253723138,0.3073537394404411,0.5182129248976708
hdac2,GIN,gnnexplainer,0.033937805891036954,0.0138273025862872,0.11696565523743627
hdac8,GAT,attention,0.6390866123139859,0.3163534127175808,0.5276423752307893
hdac8,GAT,gnnexplainer,0.03278148770332334,0.01197709916159505,0.10894446000456805
hdac8,GIN,attention,0.1929885864257812,0.6260890077799559,0.6096323058009147
hdac8,GIN,gnnexplainer,0.04595602750778205,0.0136331831105053,0.11608873084187504
hivint,GAT,attention,0.7767246691510081,0.32901019565761086,0.5171776428818703
hivint,GAT,gnnexplainer,0.059610104560852084,0.01221519606187935,0.1097123391926288
hivint,GIN,attention,0.29091688990592957,0.3224411943927407,0.5015039727091789
hivint,GIN,gnnexplainer,0.028852373361587524,0.01406374392099675,0.1179006546735763
hivpr,GAT,attention,0.25952996015548724,0.3102144598960876,0.5406613498926163
hivpr,GAT,gnnexplainer,0.027503055334091142,0.01325111947953695,0.1149532280862331
hivpr,GIN,attention,0.26360714435577387,0.13710856847465036,0.317908501625061
hivpr,GIN,gnnexplainer,0.06164754629135133,0.00958884800784285,0.09704221785068505
hivrt,GAT,attention,0.16630352735519405,0.36295710057020186,0.5782277971506119
hivrt,GAT,gnnexplainer,0.012734824419021684,0.0125820122659206,0.11188775375485416
hivrt,GIN,attention,0.2670279443264008,0.1087161133065819,0.3147229835391044
hivrt,GIN,gnnexplainer,0.0734462380409241,0.0094740715809166,0.0969670288264751
hmdh,GAT,attention,0.5678998817689717,0.22475852817296976,0.45216559022665026
hmdh,GAT,gnnexplainer,0.0008811533451080766,0.0124301304109394,0.1112541504204273
hmdh,GIN,attention,0.4281126968562602,0.16289553879760205,0.3627822510898113
hmdh,GIN,gnnexplainer,0.03540122509002691,0.012118420144543,0.10948151201009745
hs90a,GAT,attention,0.058937120437622115,0.11032450459897514,0.3196995452046394
hs90a,GAT,gnnexplainer,0.000555443763732899,0.012684419006109199,0.11245416849851606
hs90a,GIN,attention,0.7638886362314223,0.25419130008667706,0.4208709925413132
hs90a,GIN,gnnexplainer,0.07629794478416452,0.011250041984021651,0.10517176613211629
hxk4,GAT,attention,0.14976055622100826,0.12225551698356865,0.33611261993646624
hxk4,GAT,gnnexplainer,0.019514417648315407,0.012040547095239149,0.10939292460680006
hxk4,GIN,attention,0.023304450511932417,0.27447536587715143,0.5006367325782776
hxk4,GIN,gnnexplainer,0.06410151124000552,0.01103390422649675,0.1031252428889274
igf1r,GAT,attention,0.5178964599967002,0.16713654771447178,0.4020109474658966
igf1r,GAT,gnnexplainer,0.005990225076675348,0.01349782627075905,0.1160638958215713
igf1r,GIN,attention,0.6206421740353107,0.2250618077814579,0.45010965764522554
igf1r,GIN,gnnexplainer,0.07058108448982237,0.0115226764697581,0.10627219527959819
inha,GAT,attention,1.1292282104492186,0.37676529213786125,0.5556643337011338
inha,GAT,gnnexplainer,0.06845427155494693,0.01165082892403,0.106064161658287
inha,GIN,attention,0.3517973899841309,0.4386218026280403,0.6356537967920304
inha,GIN,gnnexplainer,0.012814927101135187,0.012406000448390749,0.1104573659598827
ital,GAT,attention,0.02462005615234375,0.13772356286644935,0.3651962131261825
ital,GAT,gnnexplainer,0.05384599566459658,0.0136046860367059,0.1161987371742725
ital,GIN,attention,0.5172581873834132,0.11112941801548,0.31911709308624264
ital,GIN,gnnexplainer,0.004980289936065696,0.01307374974712725,0.11406756639480585
jak2,GAT,attention,0.0700499296188356,0.2915476724505424,0.5200760155916214
jak2,GAT,gnnexplainer,0.03916249275207517,0.01244244482368225,0.11135018542408939
jak2,GIN,attention,0.2405102252960205,0.2434403354302048,0.3985518857836723
jak2,GIN,gnnexplainer,0.09696381688117978,0.01172508317977185,0.10694770291447635
kif11,GAT,attention,0.3634854316711428,0.31637425273656844,0.5147284299135209
kif11,GAT,gnnexplainer,0.07932243347167967,0.01105487272143355,0.10458373054862016
kif11,GIN,attention,0.5733167257159948,0.3282485902309418,0.4522520080208778
kif11,GIN,gnnexplainer,0.055738025903701804,0.01237349445000285,0.11090865582227699
kit,GAT,attention,0.4348161339759827,0.1773412665352225,0.3940587982535362
kit,GAT,gnnexplainer,0.017499315738678023,0.01296344092115755,0.1133634343743324
kit,GIN,attention,0.34897488951683053,0.1884404584765434,0.4107731357216835
kit,GIN,gnnexplainer,0.07480714321136478,0.011141683394089299,0.1048406317830085
kith,GAT,attention,0.14117472171783452,0.11507293730974195,0.3181018799543381
kith,GAT,gnnexplainer,0.007718217372894298,0.01298891259357325,0.11382961869239805
kith,GIN,attention,0.6318955570459365,0.28372952602803697,0.5146192207932472
kith,GIN,gnnexplainer,0.0452689111232758,0.0140124858357012,0.11812818273901934
kpcb,GAT,attention,0.4318464279174803,0.9022394403815269,0.9018435329198837
kpcb,GAT,gnnexplainer,0.012614029645919789,0.01300206826999775,0.11372782588005059
