Model,Method,Mean_diff_abs,Var_mean,Std_mean
GAT,attention,0.41945641798140737,0.34472815168898224,0.5193326438612798
GAT,gnnexplainer,0.034178435510280096,0.012457591752743063,0.1108430048596917
GIN,attention,0.434943344887556,0.3864565904412017,0.5061082595557559
GIN,gnnexplainer,0.07022117703568705,0.01157740937644615,0.10611046883003673
